rule;side;dataset;field;filter;minus
Fechamento dos níveis das contas de controle *.1.1.1.3.02.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.1.3.02.');
Fechamento dos níveis das contas de controle *.1.1.1.3.02.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.1.3.02.');1
Fechamento dos níveis das contas de controle *.1.1.1.3.03.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.1.3.03.');
Fechamento dos níveis das contas de controle *.1.1.1.3.03.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.1.3.03.');1
Fechamento dos níveis das contas de controle *.1.1.1.3.03.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.1.3.03.');
Fechamento dos níveis das contas de controle *.1.1.1.3.03.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.1.3.03.');1
Fechamento dos níveis das contas de controle *.1.1.1.3.04.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.1.3.04.');
Fechamento dos níveis das contas de controle *.1.1.1.3.04.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.1.3.04.');1
Fechamento dos níveis das contas de controle *.1.1.1.3.04.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.1.3.04.');
Fechamento dos níveis das contas de controle *.1.1.1.3.04.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.1.3.04.');1
Fechamento dos níveis das contas de controle *.1.1.1.4.01.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.1.4.01.');
Fechamento dos níveis das contas de controle *.1.1.1.4.01.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.1.4.01.');1
Fechamento dos níveis das contas de controle *.1.1.1.4.01.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.1.4.01.');
Fechamento dos níveis das contas de controle *.1.1.1.4.01.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.1.4.01.');1
Fechamento dos níveis das contas de controle *.1.1.1.4.02.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.1.4.02.');
Fechamento dos níveis das contas de controle *.1.1.1.4.02.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.1.4.02.');1
Fechamento dos níveis das contas de controle *.1.1.1.4.02.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.1.4.02.');
Fechamento dos níveis das contas de controle *.1.1.1.4.02.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.1.4.02.');1
Fechamento dos níveis das contas de controle *.1.1.1.4.03.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.1.4.03.');
Fechamento dos níveis das contas de controle *.1.1.1.4.03.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.1.4.03.');1
Fechamento dos níveis das contas de controle *.1.1.1.4.03.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.1.4.03.');
Fechamento dos níveis das contas de controle *.1.1.1.4.03.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.1.4.03.');1
Fechamento dos níveis das contas de controle *.1.1.1.4.04.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.1.4.04.');
Fechamento dos níveis das contas de controle *.1.1.1.4.04.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.1.4.04.');1
Fechamento dos níveis das contas de controle *.1.1.1.4.04.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.1.4.04.');
Fechamento dos níveis das contas de controle *.1.1.1.4.04.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.1.4.04.');1
Fechamento dos níveis das contas de controle *.1.1.1.5.01.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.1.5.01.');
Fechamento dos níveis das contas de controle *.1.1.1.5.01.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.1.5.01.');1
Fechamento dos níveis das contas de controle *.1.1.1.5.01.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.1.5.01.');
Fechamento dos níveis das contas de controle *.1.1.1.5.01.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.1.5.01.');1
Fechamento dos níveis das contas de controle *.1.1.1.5.02.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.1.5.02.');
Fechamento dos níveis das contas de controle *.1.1.1.5.02.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.1.5.02.');1
Fechamento dos níveis das contas de controle *.1.1.1.5.02.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.1.5.02.');
Fechamento dos níveis das contas de controle *.1.1.1.5.02.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.1.5.02.');1
Fechamento dos níveis das contas de controle *.1.1.1.5.03.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.1.5.03.');
Fechamento dos níveis das contas de controle *.1.1.1.5.03.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.1.5.03.');1
Fechamento dos níveis das contas de controle *.1.1.1.5.03.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.1.5.03.');
Fechamento dos níveis das contas de controle *.1.1.1.5.03.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.1.5.03.');1
Fechamento dos níveis das contas de controle *.1.1.1.5.04.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.1.5.04.');
Fechamento dos níveis das contas de controle *.1.1.1.5.04.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.1.5.04.');1
Fechamento dos níveis das contas de controle *.1.1.1.5.04.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.1.5.04.');
Fechamento dos níveis das contas de controle *.1.1.1.5.04.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.1.5.04.');1
Fechamento dos níveis das contas de controle *.1.1.2.1.01.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.2.1.01.');
Fechamento dos níveis das contas de controle *.1.1.2.1.01.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.2.1.01.');1
Fechamento dos níveis das contas de controle *.1.1.2.1.01.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.2.1.01.');
Fechamento dos níveis das contas de controle *.1.1.2.1.01.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.2.1.01.');1
Fechamento dos níveis das contas de controle *.1.1.2.1.02.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.2.1.02.');
Fechamento dos níveis das contas de controle *.1.1.2.1.02.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.2.1.02.');1
Fechamento dos níveis das contas de controle *.1.1.2.1.02.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.2.1.02.');
Fechamento dos níveis das contas de controle *.1.1.2.1.02.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.2.1.02.');1
Fechamento dos níveis das contas de controle *.1.1.2.1.99.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.2.1.99.');
Fechamento dos níveis das contas de controle *.1.1.2.1.99.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.2.1.99.');1
Fechamento dos níveis das contas de controle *.1.1.2.1.99.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.2.1.99.');
Fechamento dos níveis das contas de controle *.1.1.2.1.99.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.2.1.99.');1
Fechamento dos níveis das contas de controle *.1.1.3.1.01.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.3.1.01.');
Fechamento dos níveis das contas de controle *.1.1.3.1.01.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.3.1.01.');1
Fechamento dos níveis das contas de controle *.1.1.3.1.01.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.3.1.01.');
Fechamento dos níveis das contas de controle *.1.1.3.1.01.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.3.1.01.');1
Fechamento dos níveis das contas de controle *.1.1.3.1.02.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.3.1.02.');
Fechamento dos níveis das contas de controle *.1.1.3.1.02.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.3.1.02.');1
Fechamento dos níveis das contas de controle *.1.1.3.1.02.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.3.1.02.');
Fechamento dos níveis das contas de controle *.1.1.3.1.02.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.3.1.02.');1
Fechamento dos níveis das contas de controle *.1.1.3.1.03.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.3.1.03.');
Fechamento dos níveis das contas de controle *.1.1.3.1.03.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.3.1.03.');1
Fechamento dos níveis das contas de controle *.1.1.3.1.03.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.3.1.03.');
Fechamento dos níveis das contas de controle *.1.1.3.1.03.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.3.1.03.');1
Fechamento dos níveis das contas de controle *.1.1.3.1.04.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.3.1.04.');
Fechamento dos níveis das contas de controle *.1.1.3.1.04.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.3.1.04.');1
Fechamento dos níveis das contas de controle *.1.1.3.1.04.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.3.1.04.');
Fechamento dos níveis das contas de controle *.1.1.3.1.04.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.3.1.04.');1
Fechamento dos níveis das contas de controle *.1.1.3.1.05.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.3.1.05.');
Fechamento dos níveis das contas de controle *.1.1.3.1.05.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.3.1.05.');1
Fechamento dos níveis das contas de controle *.1.1.3.1.05.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.3.1.05.');
Fechamento dos níveis das contas de controle *.1.1.3.1.05.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.3.1.05.');1
