rule;side;dataset;field;filter;minus
Dedução de receita para o FUNDEB;left;balver;saldo_atual_credito;conta_contabil.str.startswith('6.2.1.3.1.01.');1
Dedução de receita para o FUNDEB;left;balver;saldo_atual_debito;conta_contabil.str.startswith('6.2.1.3.1.01.');
Dedução de receita para o FUNDEB;right;balrec;receita_realizada;caracteristica_peculiar_receita==105;1
