rule;side;dataset;field;filter;minus
Dotação adicional por fonte - excesso de arrecadação;left;balver;saldo_atual_debito;conta_contabil.str.startswith('5.2.2.1.3.02.');
Dotação adicional por fonte - excesso de arrecadação;left;balver;saldo_atual_credito;conta_contabil.str.startswith('5.2.2.1.3.02.');1
Dotação adicional por fonte - excesso de arrecadação;right;decreto;valor_credito_adicional;origem_recurso==2;
