rule;side;dataset;field;filter;minus
Crédito liquidado a pagar;left;balver;saldo_atual_credito;conta_contabil.str.startswith('6.2.2.1.3.03.');
Crédito liquidado a pagar;left;balver;saldo_atual_debito;conta_contabil.str.startswith('6.2.2.1.3.03.');1
Crédito liquidado a pagar;right;baldesp;valor_liquidado;orgao>0;
Crédito liquidado a pagar;right;baldesp;valor_pago;orgao>0;1
Empenhos liquidados a pagar;left;balver;saldo_atual_credito;conta_contabil.str.startswith('6.2.2.9.2.01.03.');
Empenhos liquidados a pagar;left;balver;saldo_atual_debito;conta_contabil.str.startswith('6.2.2.9.2.01.03.');1
Empenhos liquidados a pagar;right;baldesp;valor_liquidado;orgao>0;
Empenhos liquidados a pagar;right;baldesp;valor_pago;orgao>0;1
