rule;side;dataset;field;filter;minus
Contribuição previdenciária ao RGPS a pagar;left;balver;saldo_atual_credito;conta_contabil.str.startswith('2.1.1.4.3.01.');
Contribuição previdenciária ao RGPS a pagar;left;balver;saldo_atual_debito;conta_contabil.str.startswith('2.1.1.4.3.01.');1
Contribuição previdenciária ao RGPS a pagar;right;liquidacao;valor_liquidacao;rubrica.str.startswith('3.1.90.13.02');
Contribuição previdenciária ao RGPS a pagar;right;pagamento;valor_pagamento;rubrica.str.startswith('3.1.90.13.02');1
