rule;side;dataset;field;filter;minus
Dotação adicional por fonte - superávit financeiro;left;balver;saldo_atual_debito;conta_contabil.str.startswith('5.2.2.1.3.01.');
Dotação adicional por fonte - superávit financeiro;left;balver;saldo_atual_credito;conta_contabil.str.startswith('5.2.2.1.3.01.');1
Dotação adicional por fonte - superávit financeiro;right;decreto;valor_credito_adicional;origem_recurso==1;
