rule;side;dataset;field;filter;minus
Precatórios a pagar no curto prazo;left;balver;saldo_atual_credito;conta_contabil.str.startswith('2.1.1.1.1.05.');
Precatórios a pagar no curto prazo;left;balver;saldo_atual_debito;conta_contabil.str.startswith('2.1.1.1.1.05.');1
Precatórios a pagar no curto prazo;left;balver;saldo_atual_credito;conta_contabil.str.startswith('2.1.3.1.1.08.');
Precatórios a pagar no curto prazo;left;balver;saldo_atual_debito;conta_contabil.str.startswith('2.1.3.1.1.08.');1
Precatórios a pagar no curto prazo;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.2.9.1.01.');
Precatórios a pagar no curto prazo;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.2.9.1.01.');1
