rule;side;dataset;field;filter;minus
Movimentação por natureza da informação: orçamentária;right;balver;movimentacao_debito;conta_contabil.str.startswith('5.');
Movimentação por natureza da informação: orçamentária;right;balver;movimentacao_debito;conta_contabil.str.startswith('6.');
Movimentação por natureza da informação: orçamentária;left;balver;movimentacao_credito;conta_contabil.str.startswith('5.');
Movimentação por natureza da informação: orçamentária;left;balver;movimentacao_credito;conta_contabil.str.startswith('6.');
