rule;side;dataset;field;filter;minus
Contribuição previdenciária a receber;left;balver;saldo_atual_debito;conta_contabil.str.startswith('1.1.3.6.2.01.') & orgao==12;
Contribuição previdenciária a receber;left;balver;saldo_atual_credito;conta_contabil.str.startswith('1.1.3.6.2.01.') & orgao==12;1
Contribuição previdenciária a receber;right;balver;saldo_atual_credito;conta_contabil.str.startswith('2.1.8.8.2.') & indicador_superavit_financeiro=='F';
Contribuição previdenciária a receber;right;balver;saldo_atual_debito;conta_contabil.str.startswith('2.1.8.8.2.') & indicador_superavit_financeiro=='F';1
Contribuição previdenciária a receber;right;baldesp;valor_liquidado;elemento.str.startswith('3.1.91.13');
Contribuição previdenciária a receber;right;baldesp;valor_pago;elemento.str.startswith('3.1.91.13');1
