rule;side;dataset;field;filter;minus
Restos a Pagar Processados A Pagar (Passivo);left;balver;saldo_atual_credito;conta_contabil.str.startswith('2.1.3.1.1.01.01.02.');
Restos a Pagar Processados A Pagar (Passivo);left;balver;saldo_atual_debito;conta_contabil.str.startswith('2.1.3.1.1.01.01.02.');1
Restos a Pagar Processados A Pagar (Passivo);right;rp;saldo_final_processados;orgao>0;
Restos a Pagar Processados A Pagar;left;balver;saldo_atual_credito;conta_contabil.str.startswith('6.3.2.1.');
Restos a Pagar Processados A Pagar;left;balver;saldo_atual_debito;conta_contabil.str.startswith('6.3.2.1.');1
Restos a Pagar Processados A Pagar;right;rp;saldo_inicial_processados;orgao>0;
Restos a Pagar Processados A Pagar;right;rp;processados_pagos;orgao>0;1
