rule;side;dataset;field;filter;minus
Suplementação por redução em outra entidade;left;decreto;valor_credito_adicional;origem_recurso==6;
Suplementação por redução em outra entidade;right;decreto;valor_reducao_dotacoes;origem_recurso==6;
