rule;side;dataset;field;filter;minus
Previsão inicial da dedução para o FUNDEB;left;balver;saldo_atual_credito;conta_contabil.str.startswith('5.2.1.1.2.01.01.');
Previsão inicial da dedução para o FUNDEB;left;balver;saldo_atual_debito;conta_contabil.str.startswith('5.2.1.1.2.01.01.');1
Previsão inicial da dedução para o FUNDEB;right;balrec;receita_orcada;caracteristica_peculiar_receita==105;1
